book_id,book_title,知音分,预测估值,潜力指数,标签,文本爆发力,情感共鸣度,内容相关性,读者粘性,real_score
jj_5019646,不见上仙三百年,89.19308397472525,0.0651214901870431,0.0002336616081343491,价值回归,0.667453808558578,0.1809414169950189,0.9428,9.6,278.7
jj_3468871,AWM[绝地求生],96.34634945100402,0.055716996519098665,0.0002072804930025992,价值回归,0.7549783347917519,0.1868120379771638,0.9418000000000001,9.8,268.8
jj_4218910,我在无限游戏里封神,83.78263909879968,0.06918515027386615,0.0002689935858237409,潜力黑马,0.5632858864501625,0.242321343717001,0.9555,9.7,257.2
jj_3190033,伪装学渣,93.74739756441465,0.042549729095803505,0.00016537010919472796,价值回归,0.6326413801214918,0.1679033151388665,0.9035,9.7,257.3
jj_4313777,营业悖论,89.17881028686202,0.06857768615531226,0.00027245803001713255,价值回归,0.757511249020664,0.2039494877856579,0.9493,9.7,251.7
jj_3949858,FOG,91.9327795505402,0.04591710045330863,0.00018780000185402302,价值回归,0.7813456944953564,0.1812330658484777,0.9761,9.6,244.5
jj_3373718,将进酒,85.49419080649204,0.04677132810494513,0.00019152878011853043,价值回归,0.7173661112337912,0.1779285657967358,0.9516,9.8,244.2
jj_7894039,直播写纯爱文的我在虫族封神,89.8482137332229,0.07291992867342693,0.0003014465840158203,价值回归,0.829068648386787,0.2053402883985143,0.9634999999999999,9.6,241.9
jj_4105840,小蘑菇,87.94373538834941,0.07960096894834576,0.00033250195884856204,价值回归,0.5324822916450651,0.2573566048954513,0.9525,9.8,239.4
jj_3886659,烈火浇愁,97.16759633060246,0.05225403215657697,0.00022650208997215853,价值回归,0.7152969194343317,0.1773041084286319,0.9186,9.7,230.7
jj_3377217,地球上线,79.19993133343598,0.06376692084982684,0.00028202972512086173,价值回归,0.745184910887192,0.1812608917631041,0.8995000000000001,9.6,226.1
jj_9338905,你的雪人能活多久,88.82197209948652,0.05936549600296095,0.0002677740009154756,价值回归,0.7740681085779711,0.1931138971023063,0.9954000000000001,9.7,221.7
jj_3935896,我喜欢你的信息素,87.42608807208853,0.06419806682293658,0.0002904889901490343,价值回归,0.7508075545451148,0.1882189293442468,0.9628,9.7,221
jj_2228486,人渣反派自救系统,85.61079906866576,0.04197898099681217,0.00019177241204573853,价值回归,0.7461426546759466,0.1876167091458716,0.9937,9.8,218.9
jj_3511075,不要在垃圾桶里捡男朋友,84.88040721004279,0.055858163311585704,0.00025623010693387937,价值回归,0.646501090541172,0.2006972895863053,0.9429000000000001,9.7,218
jj_3828175,我只喜欢你的人设,87.2518586141041,0.060101288454244534,0.00027760410371475535,价值回归,0.5503824652371185,0.1799897067535545,0.8417,9.7,216.5
jj_4001734,难哄,84.45269360035422,0.0999494814228671,0.0004703505008134922,品牌溢价,0.6738378169651111,0.2540545144804088,0.8189,9.7,212.5
jj_4036206,嚣张,91.17566937316815,0.05704878972925509,0.00026859128874413883,价值回归,0.8671250998099054,0.1952807746314064,0.9729000000000001,9.7,212.4
jj_7888815,恒星时刻,94.76207829606881,0.04761025876782436,0.00022747376382142552,价值回归,0.7052338666990022,0.1849084148117329,0.9918,9.9,209.3
jj_3677929,轻狂,77.00627703688144,0.08568554579899815,0.00041514314825096,价值回归,0.8639805446560954,0.2027231033717834,0.9396,9.7,206.4
jj_3676002,偷偷藏不住,80.01038610210799,0.08868775858697107,0.0004390483098364905,价值回归,0.7126537249623636,0.2768575071399428,0.8242,9.6,202
jj_2674286,一级律师,84.01312770951756,0.04839371114947789,0.0002469066895381525,潜力黑马,0.6500270118528227,0.1673159177986764,0.9095,9.7,196
jj_4737103,砸锅卖铁去上学,81.12886035288159,0.058266415835717546,0.00029803793266351686,价值回归,0.6122521427172634,0.1798717163988778,0.9004000000000001,9.6,195.5
jj_2771073,默读,96.21315393197744,0.05317567208187753,0.0002725559819675937,价值回归,0.6449008441884949,0.1810995342089187,0.9373999999999999,9.8,195.1
jj_5833245,穿进赛博游戏后干掉BOSS成功上位,92.08571346740302,0.05971536717738473,0.00030670450527675775,价值回归,0.6326396661864108,0.197547025201351,0.9519,9.8,194.7
jj_4074715,网恋翻车指南,76.18897845444371,0.08304531280341572,0.000439625795677161,价值回归,0.850826225360717,0.2039670288845546,0.8794,9.4,188.9
jj_4004322,可爱过敏原,84.47987787052352,0.08347839666094345,0.00044712585249568,价值回归,0.5855289569870376,0.2047712216235315,0.9290999999999999,9.6,186.7
jj_3566040,当年万里觅封侯,85.26830792460487,0.07740746353202727,0.00042160927849688054,价值回归,0.7405428663745547,0.1844468766222529,0.9062,9.7,183.6
jj_3514176,解药,90.56839261015875,0.05494027575190426,0.0003023680558717901,价值回归,0.8447442444008016,0.1789933138828105,0.9414,9.8,181.7
jj_3146241,我五行缺你,70,0.07370852200659138,0.00041177945255078984,潜力黑马,0.6808444206402802,0.2035530214652356,0.825,9.4,179
jj_4918054,剑名不奈何,79.06434071139256,0.0522822840558564,0.00029306213035793947,价值回归,0.8165681939999487,0.1732108225590727,0.9629000000000001,9.3,178.4
jj_4500141,我喜欢你男朋友很久了,83.15994396944416,0.07294639439047335,0.00041399769801630734,潜力黑马,0.6870133101172285,0.198229466616934,0.9695,9.7,176.2
jj_5159221,悬日,87.6374988488069,0.0597992705129042,0.00034347656813845035,价值回归,0.5531482868660793,0.2079899024726627,0.9484,9.7,174.1
jj_3396832,无限旅游团,76.50700205078533,0.05276961260489352,0.0003082337184865276,价值回归,0.7508096709505275,0.1812059415236051,0.9195,9.6,171.2
jj_4398357,兼职无常后我红了,80.47285127715747,0.06350540934817957,0.0003720293459178651,价值回归,0.7577417295432409,0.1797754890678941,0.9236,9.7,170.7
jj_3426127,迪奥先生,80.61430136819831,0.07375310591242833,0.00043460875611330777,价值回归,0.6042004822321708,0.2070007809449433,0.7889,9.6,169.7
jj_3353483,陷入我们的热恋,80.17231921891698,0.09334938135079032,0.0005660969154080675,品牌溢价,0.7182705507942809,0.2673507349762214,0.8593000000000001,9.8,164.9
jj_8124057,我是卷王穿越者的废物对照组,79.44697354548089,0.043606409514001056,0.00027084726406211837,潜力黑马,0.859309408318405,0.1681064840956145,0.9919,9.5,161
jj_4836678,告白,74.8596308159457,0.09058165200122212,0.0005675542105339732,价值回归,0.5304869547556746,0.2691388203017832,0.8189,9.3,159.6
jj_4665570,无限练习生,80.04224607497622,0.06480368443600917,0.00042859579653445226,潜力黑马,0.5811593776220332,0.1890208365135094,0.9109999999999999,9.5,151.2
jj_3535685,别来无恙,83.4375877520365,0.085315711965021,0.000566505391534004,价值回归,0.6627275569491783,0.2052951511849632,0.9285,9.7,150.6
jj_3278715,一个钢镚儿,84.58276674429487,0.0912813943146522,0.0006134502306092217,价值回归,0.7537108254989288,0.1982258278145695,0.8175,9.7,148.8
jj_3121357,残次品,88.82986678434406,0.04789882163416486,0.00032276833985286294,价值回归,0.5895799621607644,0.1761672750779526,0.9128000000000001,9.8,148.4
jj_5493500,这该死的求生欲,72.3038232507538,0.07989714135987305,0.000542043021437402,价值回归,0.6117272209413546,0.2304332614942528,0.9349,9.3,147.4
jj_8888798,京圈少爷的公用狗腿,88.32768078108302,0.044365323220540154,0.0003042889109776416,价值回归,0.6015520271084177,0.1693373372362975,0.9322,9.8,145.8
jj_4321268,这题超纲了,77.52071113429292,0.07164889574370481,0.0004924322731526103,价值回归,0.5891133894848493,0.1908842821205627,0.7497,9.7,145.5
jj_3617319,BE狂魔求生系统,85.09820806510811,0.06114133477072468,0.00042488766345187405,价值回归,0.580439313412277,0.1893200408278192,0.9195,9.7,143.9
jj_5703223,三伏,83.76976549171513,0.07022729748660547,0.0004890480326365284,价值回归,0.8892414837763616,0.1971922511935365,0.9395,9.7,143.6
